wav_file,stratum,shard,clip_frac,silence_frac,duty,mod_std,flatness,centroid,start_ratio,end_ratio,flags,n_flags
082_medium_filtered-train-00003-of-00082_r873.wav,medium,filtered-train-00003-of-00082,4.9753224008915776e-05,0.09379968203497616,0.7440381558028617,13.826848983764648,0.04337598383426666,2094.8264738154685,0.06833435428412372,1.2306696026445234,,0
083_hi_quality_filtered-train-00003-of-00082_r1326.wav,hi_quality,filtered-train-00003-of-00082,0.0,0.0,0.8698578908002992,7.243817329406738,0.04378793388605118,1758.9326628730314,1.1117791202481229,0.9398088272205026,,0
084_short_filtered-train-00003-of-00082_r862.wav,short,filtered-train-00003-of-00082,1.0557432432432433e-05,0.0016863406408094434,0.7689713322091062,11.703227043151855,0.029058020561933517,1848.6293246474365,0.9420161447011671,0.5657604691030761,,0
085_long_filtered-train-00003-of-00082_r184.wav,long,filtered-train-00003-of-00082,0.0,0.16002896451846488,0.719768283852281,14.82943058013916,0.03326503559947014,2909.229084817198,0.6572407678048264,0.9814566453027993,,0
086_borderline_filtered-train-00003-of-00082_r1216.wav,borderline,filtered-train-00003-of-00082,0.0,0.023862788963460103,0.8829231916480239,8.512635231018066,0.012876116670668125,1393.1668477657036,1.127859446758611,0.07293164780640884,,0
087_medium_filtered-train-00003-of-00082_r3065.wav,medium,filtered-train-00003-of-00082,0.0,0.012244897959183673,0.8755102040816326,8.115608215332031,0.02862822264432907,2028.972353015233,1.2825072893370832,0.8567051854910261,,0
088_hi_quality_filtered-train-00003-of-00082_r3048.wav,hi_quality,filtered-train-00003-of-00082,0.0,0.0,0.9895245769540693,3.8818700313568115,0.08501207828521729,2782.071189863501,1.0245077485594776,1.0823356310077619,possible_music,1
089_short_filtered-train-00003-of-00082_r758.wav,short,filtered-train-00003-of-00082,3.0055301755229622e-05,0.08653846153846154,0.7403846153846154,14.004910469055176,0.06373883783817291,2267.915821647629,1.3074068711151283,0.8549699985146547,,0
090_long_filtered-train-00003-of-00082_r1752.wav,long,filtered-train-00003-of-00082,0.0,0.03994583615436696,0.8002708192281652,11.132888793945312,0.03752342611551285,1675.0603182925565,0.13969626136709581,0.35016376183256653,,0
091_borderline_filtered-train-00003-of-00082_r2716.wav,borderline,filtered-train-00003-of-00082,0.0,0.0007220216606498195,0.7862815884476534,9.245052337646484,0.06699063628911972,2565.6143780562893,1.0571693870563306,0.04474074147144794,,0
092_medium_filtered-train-00003-of-00082_r2077.wav,medium,filtered-train-00003-of-00082,0.0,0.014492753623188406,0.784219001610306,10.32022762298584,0.10178757458925247,2579.5944693706692,0.8021623776366643,1.1110560095549349,,0
093_hi_quality_filtered-train-00003-of-00082_r2146.wav,hi_quality,filtered-train-00003-of-00082,0.0,0.003434065934065934,0.8722527472527473,7.388839244842529,0.03394094109535217,1639.5467140250423,0.7560895535839222,1.0390601671820623,,0
094_short_filtered-train-00003-of-00082_r915.wav,short,filtered-train-00003-of-00082,4.5955882352941176e-05,0.0,0.8361858190709046,9.306343078613281,0.05777464434504509,2517.0920742651906,0.09544214109631305,1.60859850961562,abrupt_end,1
095_long_filtered-train-00003-of-00082_r299.wav,long,filtered-train-00003-of-00082,0.0,0.06245710363761153,0.8071379547014413,10.7218656539917,0.0016963360831141472,812.7611750135655,2.1136259494435414,0.712415095986479,abrupt_start,1
096_borderline_filtered-train-00003-of-00082_r950.wav,borderline,filtered-train-00003-of-00082,0.0,0.0,0.9609544468546638,7.060979843139648,0.06266003102064133,2267.9159270327928,0.3705737056792572,0.9554327378395251,,0
097_medium_filtered-train-00003-of-00082_r113.wav,medium,filtered-train-00003-of-00082,0.0,0.08985024958402663,0.7936772046589018,10.66822624206543,0.04497080296278,2081.9062886353413,0.865123654616271,0.33958029409011603,,0
098_hi_quality_filtered-train-00003-of-00082_r386.wav,hi_quality,filtered-train-00003-of-00082,0.0,0.0,0.9041509433962264,7.911076068878174,0.06448104232549667,2504.6417670790083,0.8497739552885705,0.9467857611070092,,0
099_short_filtered-train-00003-of-00082_r848.wav,short,filtered-train-00003-of-00082,0.0,0.004672897196261682,0.9415887850467289,6.592451572418213,0.09668159484863281,2560.4277753480833,0.754225633217839,1.1530733476261679,possible_music,1
100_long_filtered-train-00003-of-00082_r2459.wav,long,filtered-train-00003-of-00082,0.0,0.14585012087026591,0.7211925866236906,14.112105369567871,0.011495474725961685,1837.485765600403,1.9531874975297072,0.3967959834324259,abrupt_start,1
